x,y,z,sx,sy,sz
650503.35,432823.01,122.49,0.6369,0.1648,0.9231
650521.59,432806.04,124.95,0.1104,0.0338,0.2162
650684.60,432870.67,110.08,0.1284,0.0992,0.2016
650566.23,432773.61,110.33,0.7062,0.3506,0.9695
650691.05,432799.91,128.06,0.1070,0.0453,0.1723
650570.15,432836.62,123.16,0.3232,0.1307,0.4091
650568.45,432784.22,116.86,0.6966,0.2634,0.9217
650507.00,432689.38,123.81,0.2210,0.1134,0.4019
650610.21,432827.63,111.23,0.0175,0.0158,0.0833
650678.27,432784.19,127.61,0.1351,0.1042,0.2869
650539.42,432844.59,122.43,0.3426,0.4269,1.1337
650550.17,432815.59,125.35,0.1379,0.0831,0.6678
650565.53,432711.68,109.51,0.0239,0.0240,0.0799
650575.29,432851.53,121.98,0.2765,0.1571,0.3721
650679.16,432755.88,127.64,0.2105,0.2959,0.4351
650682.78,432796.51,126.91,0.2735,0.1489,0.5284
650569.74,432822.37,126.88,0.1489,0.0332,0.1752
650497.07,432728.46,116.13,0.1151,0.0610,0.1810
650565.83,432727.19,109.41,0.0247,0.0256,0.0824
650499.72,432734.54,116.16,0.1173,0.0642,0.1909
650528.50,432734.56,108.89,0.0419,0.0388,0.1131
650593.68,432698.21,111.25,0.0189,0.0185,0.0357
650692.84,432834.99,109.70,0.0867,0.0392,0.1614
650685.33,432763.94,126.21,0.2662,0.1378,0.4681
650569.02,432797.48,120.75,0.2323,0.0455,0.3061
650694.05,432771.67,126.41,0.5442,0.1955,0.8176
650564.40,432767.99,124.50,0.8505,0.2762,1.0126
650678.02,432758.19,125.45,0.1315,0.0987,0.2723
650701.91,432797.65,127.13,0.2223,0.0525,0.2912
650541.65,432654.59,123.10,0.0958,0.0740,0.2281
650561.02,432780.16,124.44,1.0163,0.1747,1.1623
650625.21,432828.86,109.16,0.0310,0.0320,0.0901
650558.97,432748.20,109.35,0.3354,0.1687,0.4377
650567.55,432829.14,126.02,0.1097,0.1118,1.6624
650519.70,432866.83,115.16,0.4524,0.3669,0.9239
650493.30,432822.75,124.63,0.8298,0.0880,0.9862
650498.52,432876.89,118.98,0.2636,0.1670,0.3488
650562.28,432843.25,127.26,0.0234,0.0370,0.1357
650694.72,432786.75,128.52,0.4358,0.0881,0.6309
650536.54,432696.85,123.26,0.1945,0.1386,0.9134
650503.42,432868.59,115.01,0.4394,0.2570,0.6580
650545.77,432803.52,124.90,0.1331,0.1751,0.4973
