imageName, cameraIndex, cameraName, X_opt, Y_opt, Z_opt, X_gps, Y_gps, Z_gps, X_acc, Y_acc, Z_acc, Omega, Phi, Kappa, X_uncertainty, Y_uncertainty, Z_uncertainty, Omega_uncertainty, Phi_uncertainty, Kappa_uncertainty, inlierProb
100_0212_0019.JPG, 0, FC6310R_8.8_5472x3648 (RGB)(1), 650797.419656, 434800.217901, 209.014755, 650797.408297, 434800.228740, 208.978331, 0.017355, 0.017355, 0.027850, 0.234344, 0.993367, 167.774652, 0.009022, 0.008699, 0.015009, 0.011720, 0.011885, 0.014194, 0.999999
100_0212_0020.JPG, 0, FC6310R_8.8_5472x3648 (RGB)(1), 650794.657384, 434776.548477, 208.974287, 650794.648195, 434776.557630, 208.932416, 0.016785, 0.016785, 0.026940, 0.244640, 0.994453, 167.749572, 0.008826, 0.008502, 0.014708, 0.012028, 0.011861, 0.014751, 0.999999
100_0212_0021.JPG, 0, FC6310R_8.8_5472x3648 (RGB)(1), 650791.935168, 434752.534426, 209.014444, 650791.925160, 434752.544566, 208.983489, 0.016930, 0.016930, 0.027130, 0.283603, 0.966872, 168.452217, 0.008883, 0.008557, 0.014765, 0.012187, 0.011860, 0.015326, 0.999999
100_0212_0022.JPG, 0, FC6310R_8.8_5472x3648 (RGB)(1), 650789.144814, 434728.825571, 209.064764, 650789.135439, 434728.835487, 209.020566, 0.016950, 0.016950, 0.027110, 0.340180, 0.942237, 168.350607, 0.008892, 0.008572, 0.014851, 0.011955, 0.011975, 0.015426, 0.999999
100_0212_0023.JPG, 0, FC6310R_8.8_5472x3648 (RGB)(1), 650786.284120, 434705.120377, 209.053388, 650786.272677, 434705.130405, 209.014643, 0.017585, 0.017585, 0.028060, 0.393947, 0.946281, 168.020524, 0.009111, 0.008766, 0.015001, 0.011904, 0.011773, 0.013933, 0.999999
100_0212_0024.JPG, 0, FC6310R_8.8_5472x3648 (RGB)(1), 650783.517907, 434681.424253, 209.022241, 650783.509343, 434681.434488, 208.997735, 0.017920, 0.017920, 0.028270, 0.424111, 0.938019, 167.902670, 0.009221, 0.008906, 0.014898, 0.012175, 0.011957, 0.015207, 0.999999
100_0212_0025.JPG, 0, FC6310R_8.8_5472x3648 (RGB)(1), 650780.706681, 434657.721155, 209.070546, 650780.696336, 434657.730904, 209.024819, 0.017370, 0.017370, 0.027880, 0.462658, 0.947985, 168.060898, 0.009022, 0.008695, 0.014809, 0.012043, 0.011900, 0.013862, 0.999999
100_0212_0026.JPG, 0, FC6310R_8.8_5472x3648 (RGB)(1), 650777.914261, 434633.812765, 209.135551, 650777.902815, 434633.823921, 209.097885, 0.017430, 0.017430, 0.027990, 0.511782, 0.943422, 168.680933, 0.009047, 0.008728, 0.014929, 0.012583, 0.011984, 0.015496, 0.999999
100_0212_0027.JPG, 0, FC6310R_8.8_5472x3648 (RGB)(1), 650775.154468, 434609.822929, 209.059188, 650775.146252, 434609.834601, 209.019963, 0.017375, 0.017375, 0.027930, 0.510710, 0.928819, 168.803198, 0.009010, 0.008705, 0.014722, 0.012355, 0.011716, 0.014308, 0.999999
100_0212_0028.JPG, 0, FC6310R_8.8_5472x3648 (RGB)(1), 650772.312486, 434585.928927, 209.025046, 650772.302466, 434585.938482, 208.977048, 0.017695, 0.017695, 0.028160, 0.488725, 0.928145, 168.830514, 0.009126, 0.008827, 0.014880, 0.012563, 0.011736, 0.014572, 0.999999
100_0212_0029.JPG, 0, FC6310R_8.8_5472x3648 (RGB)(1), 650769.550160, 434562.123023, 209.010869, 650769.540280, 434562.134443, 208.968118, 0.018570, 0.018570, 0.028650, 0.489609, 0.939279, 169.611394, 0.009441, 0.009144, 0.015158, 0.012696, 0.011974, 0.015427, 0.999999
100_0212_0030.JPG, 0, FC6310R_8.8_5472x3648 (RGB)(1), 650766.740807, 434538.070619, 209.030005, 650766.731803, 434538.081764, 208.992200, 0.017605, 0.017605, 0.027340, 0.491132, 0.921991, 169.594698, 0.009100, 0.008789, 0.014849, 0.012389, 0.011904, 0.015266, 0.999999
100_0212_0031.JPG, 0, FC6310R_8.8_5472x3648 (RGB)(1), 650764.077290, 434514.195769, 209.020046, 650764.063754, 434514.206377, 208.991281, 0.017650, 0.017650, 0.027250, 0.494589, 0.898900, 169.635095, 0.009111, 0.008813, 0.014859, 0.012464, 0.012076, 0.015765, 0.999999
100_0212_0032.JPG, 0, FC6310R_8.8_5472x3648 (RGB)(1), 650761.243707, 434490.148434, 209.049865, 650761.233942, 434490.159247, 209.011350, 0.018635, 0.018635, 0.028660, 0.553938, 0.817947, 169.950054, 0.009462, 0.009166, 0.015190, 0.012268, 0.012163, 0.014698, 0.999999
100_0212_0033.JPG, 0, FC6310R_8.8_5472x3648 (RGB)(1), 650758.449365, 434466.385846, 209.042585, 650758.439750, 434466.394444, 209.006436, 0.017220, 0.017220, 0.026970, 0.589184, 0.789686, 170.649852, 0.008981, 0.008660, 0.014855, 0.012485, 0.011871, 0.014673, 0.999999
100_0212_0034.JPG, 0, FC6310R_8.8_5472x3648 (RGB)(1), 650755.544983, 434442.297045, 209.011375, 650755.534321, 434442.307968, 208.986510, 0.017665, 0.017665, 0.028060, 0.598810, 0.741903, 170.522740, 0.009142, 0.008823, 0.015082, 0.012167, 0.012046, 0.014804, 0.999999
100_0212_0035.JPG, 0, FC6310R_8.8_5472x3648 (RGB)(1), 650752.769996, 434418.528658, 208.966749, 650752.757399, 434418.540600, 208.950592, 0.017370, 0.017370, 0.027030, 0.623519, 0.723158, 171.195298, 0.009014, 0.008691, 0.014561, 0.011444, 0.011547, 0.012968, 0.999999
100_0212_0036.JPG, 0, FC6310R_8.8_5472x3648 (RGB)(1), 650750.008678, 434394.693751, 208.973346, 650749.997901, 434394.702671, 208.928679, 0.017685, 0.017685, 0.029270, 0.704693, 0.685555, 170.486964, 0.009095, 0.008808, 0.014868, 0.011404, 0.011340, 0.013076, 0.999999
100_0212_0037.JPG, 0, FC6310R_8.8_5472x3648 (RGB)(1), 650747.251205, 434370.682299, 209.064917, 650747.239717, 434370.691705, 209.036749, 0.017330, 0.017330, 0.027780, 0.730671, 0.629044, 170.902112, 0.008979, 0.008687, 0.014721, 0.011033, 0.010765, 0.013615, 0.999999
100_0212_0038.JPG, 0, FC6310R_8.8_5472x3648 (RGB)(1), 650744.588255, 434346.779858, 209.105334, 650744.579831, 434346.791863, 209.070835, 0.017145, 0.017145, 0.027560, 0.765056, 0.586583, 171.129380, 0.008936, 0.008611, 0.014623, 0.010054, 0.010156, 0.012494, 0.999999
100_0212_0039.JPG, 0, FC6310R_8.8_5472x3648 (RGB)(1), 650741.724385, 434322.874626, 209.062832, 650741.714850, 434322.885880, 209.016907, 0.017545, 0.017545, 0.027910, 0.762043, 0.522065, 171.401037, 0.009046, 0.008716, 0.014522, 0.009115, 0.009371, 0.011162, 0.999999
100_0212_0040.JPG, 0, FC6310R_8.8_5472x3648 (RGB)(1), 650739.041848, 434299.004440, 209.077933, 650739.032889, 434299.016292, 209.043991, 0.017410, 0.017410, 0.027830, 0.792556, 0.500732, 171.461508, 0.008995, 0.008657, 0.014337, 0.008236, 0.008514, 0.010786, 0.999999
100_0212_0041.JPG, 0, FC6310R_8.8_5472x3648 (RGB)(1), 650736.212036, 434274.918479, 209.067294, 650736.200125, 434274.928929, 209.053076, 0.017585, 0.017585, 0.027930, 0.756268, 0.490066, 171.029872, 0.009053, 0.008726, 0.014313, 0.007488, 0.007742, 0.010742, 0.999999
100_0212_0042.JPG, 0, FC6310R_8.8_5472x3648 (RGB)(1), 650733.313652, 434251.345347, 209.017985, 650733.300225, 434251.352619, 208.987166, 0.018375, 0.018375, 0.027910, 0.773348, 0.474465, 171.086300, 0.009302, 0.008961, 0.013893, 0.006046, 0.006802, 0.008460, 0.999999
100_0212_0043.JPG, 0, FC6310R_8.8_5472x3648 (RGB)(1), 650730.525115, 434227.371314, 209.045046, 650730.509963, 434227.380894, 209.015238, 0.020985, 0.020985, 0.031470, 0.815679, 0.492263, 171.156401, 0.010180, 0.009949, 0.014610, 0.006684, 0.006618, 0.010013, 0.999999
